b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  
b  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,d-1,   ,   ,   ,r  ,   ,e  ,b
b  ,   ,   ,   ,   ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,   ,b  ,b  ,b  ,b  ,b  
b  ,s  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,b  
b  ,   ,   ,   ,   ,   ,D-0,D-0,   ,   ,   ,   ,   ,   ,   ,d-0,   ,b
b  ,   ,   ,   ,r  ,b  ,b  ,B  ,b  ,b  ,b  ,b  ,b  ,   ,b  ,b  ,b  ,b  
b  ,b  ,b  ,   ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,   ,b  ,b  ,b  ,b  
b  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,b  
b  ,   ,   ,y-0,   ,   ,y-0,b  ,   ,   ,r  ,   ,y-1,b  ,b  ,b  ,b  ,b
b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  
b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  
