b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  
b  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,b
b  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,b  
b  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,b  
b  ,   ,   ,   ,   ,,   ,   ,   ,,,,,,,,,b  
b  ,   ,   ,   ,   ,,b  ,   ,   ,,,,,,,,,b  
b  ,,   ,   ,,,b  ,,   ,,c-1,,,,,,,b  
b  ,,,,b  ,b  ,b  ,b  ,b  ,b  ,b  ,,,,b  ,   ,   ,b  
b  ,s  ,,,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,   , e ,b  
b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  
b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  ,b  
